0.000000	0
0.020000	0
0.040000	1
0.060000	1
0.080000	7
0.100000	13
0.120000	51
0.140000	104
0.160000	186
0.180000	315
0.200000	459
0.220000	707
0.240000	957
0.260000	1268
0.280000	1639
0.300000	1918
0.320000	2347
0.340000	2719
0.360000	3169
0.380000	3537
0.400000	3881
0.420000	4061
0.440000	4339
0.460000	4470
0.480000	4570
0.500000	4748
0.520000	4687
0.540000	4787
0.560000	4762
0.580000	4793
0.600000	4691
0.620000	4774
0.640000	4634
0.660000	4843
0.680000	4921
0.700000	4821
0.720000	5259
0.740000	5495
0.760000	6151
0.780000	6819
0.800000	7886
0.820000	8975
0.840000	10672
0.860000	13003
0.880000	15700
0.900000	19087
0.920000	22899
0.940000	26075
0.960000	28112
0.980000	27997
1.000000	26337
1.020000	21882
1.040000	17564
1.060000	13312
1.080000	9254
1.100000	6433
1.120000	4447
1.140000	3159
1.160000	2256
1.180000	1753
1.200000	1292
1.220000	1087
1.240000	911
1.260000	866
1.280000	702
1.300000	690
1.320000	607
1.340000	533
1.360000	491
1.380000	407
1.400000	344
1.420000	347
1.440000	298
1.460000	288
1.480000	220
1.500000	194
1.520000	154
1.540000	146
1.560000	108
1.580000	64
1.600000	55
1.620000	36
1.640000	25
1.660000	10
1.680000	6
1.700000	5
1.720000	2
1.740000	0
1.760000	0
1.780000	0
1.800000	0
1.820000	0
1.840000	0
1.860000	0
1.880000	0
1.900000	0
1.920000	0
1.940000	0
1.960000	0
1.980000	0
2.000000	0
