0	0
0.003	0
0.006	1
0.009	8
0.012	51
0.015	166
0.018	422
0.021	928
0.024	1701
0.027	2756
0.03	4274
0.033	6006
0.036	8205
0.039	10719
0.042	13206
0.045	16010
0.048	18292
0.051	20562
0.054	22315
0.057	23661
0.06	24405
0.063	24640
0.066	24527
0.069	23792
0.072	22293
0.075	21036
0.078	19259
0.081	17044
0.084	15423
0.087	13199
0.09	11257
0.093	9753
0.096	7898
0.099	6522
0.102	5328
0.105	4245
0.108	3293
0.111	2528
0.114	2008
0.117	1538
0.12	1137
0.123	861
0.126	617
0.129	444
0.132	331
0.135	234
0.138	175
0.141	146
0.144	105
0.147	73
0.15	62
0.153	43
0.156	31
0.159	27
0.162	11
0.165	7
0.168	10
0.171	3
0.174	3
0.177	1
0.18	1
0.183	0
0.186	1
0.189	0
0.192	0
0.195	0
0.198	0
0.201	1
0.204	0
0.207	0
0.21	0
0.213	0
0.216	0
0.219	0
0.222	0
0.225	0
0.228	0
0.231	0
0.234	0
0.237	0
0.24	0
0.243	0
0.246	0
0.249	0
0.252	0
0.255	0
0.258	0
0.261	0
0.264	0
0.267	0
0.27	0
0.273	0
0.276	0
0.279	0
0.282	0
0.285	0
0.288	0
0.291	0
0.294	0
0.297	0
0.3	0
