0.0736854426083	34
0.634676856443	308
1.19566827028	921
1.75665968411	1792
2.31765109795	2752
2.87864251178	4032
3.43963392561	5297
4.00062533945	6601
4.56161675328	7744
5.12260816712	8863
5.68359958095	9611
6.24459099479	10770
6.80558240862	11515
7.36657382246	12249
7.92756523629	12770
8.48855665012	13149
9.04954806396	13635
9.61053947779	14140
10.1715308916	14370
10.7325223055	14399
11.2935137193	14513
11.8545051331	14441
12.415496547	14259
12.9764879608	13874
13.5374793746	13783
14.0984707885	13238
14.6594622023	12850
15.2204536161	12469
15.78144503	11757
16.3424364438	11010
16.9034278576	10515
17.4644192715	9837
18.0254106853	9330
18.5864020991	8660
19.147393513	7889
19.7083849268	7268
20.2693763406	6644
20.8303677545	6214
21.3913591683	5610
21.9523505822	4992
22.513341996	4540
23.0743334098	4222
23.6353248237	3724
24.1963162375	3334
24.7573076513	3084
25.3182990652	2550
25.879290479	2350
26.4402818928	2076
27.0012733067	1824
27.5622647205	1592
28.1232561343	1433
28.6842475482	1211
29.245238962	1096
29.8062303758	936
30.3672217897	777
30.9282132035	710
31.4892046173	553
32.0501960312	517
32.611187445	425
33.1721788588	361
33.7331702727	325
34.2941616865	258
34.8551531003	241
35.4161445142	227
35.977135928	179
36.5381273418	161
37.0991187557	119
37.6601101695	114
38.2211015833	105
38.7820929972	56
39.343084411	70
39.9040758249	43
40.4650672387	42
41.0260586525	43
41.5870500664	36
42.1480414802	28
42.709032894	18
43.2700243079	13
43.8310157217	16
44.3920071355	20
44.9529985494	14
45.5139899632	7
46.074981377	12
46.6359727909	5
47.1969642047	4
47.7579556185	3
48.3189470324	2
48.8799384462	1
49.44092986	0
50.0019212739	2
50.5629126877	0
51.1239041015	2
51.6848955154	3
52.2458869292	1
52.806878343	2
53.3678697569	1
53.9288611707	0
54.4898525845	0
55.0508439984	0
55.6118354122	2
